214,329,435,341,208,110,442,103
214,328,435,340,208,109,443,102
214,327,435,340,208,108,443,100
214,327,436,340,207,106,444,99
214,326,436,339,207,105,445,98
214,326,437,339,207,104,445,97
214,325,437,339,206,103,446,95
214,325,437,338,206,102,447,94
213,324,438,338,206,101,447,93
213,324,438,337,206,99,448,91
213,323,439,337,205,98,448,90
213,322,439,337,205,97,449,89
213,322,440,336,205,96,450,87
213,321,440,336,205,95,450,86
213,321,440,336,204,93,451,84
212,320,441,335,204,92,452,83
212,320,441,335,204,91,452,82
212,319,442,334,203,90,453,80
212,318,442,334,203,88,454,79
212,318,443,334,203,87,455,77
212,317,443,333,202,86,455,76
212,317,443,333,202,85,456,74
211,316,444,333,202,83,457,73
211,316,444,332,201,82,457,71
211,315,445,332,201,81,458,70
211,314,445,331,201,79,459,68
211,314,446,331,200,78,459,67
211,313,446,331,200,77,460,65
210,313,447,330,200,76,461,64
210,312,447,330,199,74,462,62
210,312,447,330,199,73,462,61
210,311,448,329,198,71,463,59
210,310,448,329,198,70,464,57
210,310,449,328,198,69,465,56
209,309,449,328,197,67,465,54
209,309,450,328,197,66,466,53
209,308,450,327,196,65,467,51
209,308,451,327,196,63,468,49
209,307,451,327,196,62,469,48
208,306,452,326,195,60,469,46
208,306,452,326,195,59,470,44
208,305,453,325,194,58,471,42
208,305,453,325,194,56,472,41
208,304,454,325,193,55,473,39
207,304,454,324,193,53,473,37
207,303,455,324,193,52,474,35
207,302,455,324,192,50,475,33
207,302,455,323,192,49,476,32
207,301,456,323,191,47,477,30
206,301,456,323,191,46,478,28
206,300,457,322,190,44,479,26
206,299,457,322,190,43,480,24
206,299,458,321,189,41,480,22
205,298,458,321,189,40,481,20
205,298,459,321,188,38,482,18
205,297,459,320,188,37,483,16
205,296,460,320,187,35,484,14
204,296,461,320,187,33,485,12
204,295,461,319,186,32,486,10
204,295,462,319,185,30,487,8
204,294,462,319,185,29,488,6
203,294,463,318,184,27,489,4
203,293,463,318,184,25,490,2
203,292,464,317,183,24,491,-1
203,292,464,317,183,22,492,-3
202,291,465,317,182,20,493,-5
202,291,465,316,181,19,494,-7
202,290,466,316,181,17,495,-9
202,289,466,316,180,15,496,-12
201,289,467,315,180,13,497,-14
201,288,467,315,179,12,498,-16
201,287,468,315,178,10,499,-19
200,287,469,314,178,8,500,-21
200,286,469,314,177,6,501,-24
200,286,470,313,176,5,503,-26
199,285,470,313,176,3,504,-29
199,284,471,313,175,1,505,-31
199,284,471,312,174,-1,506,-34
199,283,472,312,173,-3,507,-36
198,283,472,312,173,-5,508,-39
198,282,473,311,172,-7,509,-42
198,281,474,311,171,-9,511,-44
197,281,474,311,171,-10,512,-47
197,280,475,310,170,-12,513,-50
197,279,475,310,169,-14,514,-53
196,279,476,309,168,-16,516,-55
196,278,477,309,167,-18,517,-58
196,278,477,309,167,-20,518,-61
195,277,478,308,166,-22,520,-64
195,276,478,308,165,-24,521,-67
